"Prefix","Number","Title","Hours","Description","Unk","Taught"
"COMM","4314","Persuasion","3","The course will emphasize the critical evaluation of persuasive messages and the design of persuasive appeals. By merging theory and practice, students will focus on an understanding of persuasive techniques as a mean for influencing attitudes, beliefs, opinions, and actions in a variety of contexts, including business, politics, interpersonal interactions, and via media and technology-based communication. Prerequisites: RHET 1302 .","3-0","R"
"COMM","4340","Small Group Communication","3"," Group processes and dynamics applied to public discussion and small group communication.  Study of the development of group leadership abilities, problem-solving techniques and conflict management, discussion methods, and the importance of small groups in the modern professional environment. Prerequisite: RHET 1302 and upper-division standing.","3-0","R"
"COMM","4350","Intercultural Communication","3","Examines how culture is studied and how culture affects self-concept, reasoning and patterns of thought, verbal and nonverbal communication, and communication style.  Additional topics include intercultural conflict, ethnocentrism and prejudice, intercultural accommodation and adjustment, and intercultural business protocol.  Prerequisite: RHET 1302 and upper-division standing.","3-0","R"
"COMM","4V71","Independent Study in Communication","1-3","Independent study under a faculty member's direction. Signature of instructor on proposed project outline required. May be repeated for credit (9 hours maximum). Consent of instructor required.","[1-3]-0","R"
"CRWT","2301","Introductory Creative Writing","3","An introduction to creative writing, the course will investigate and instruct students in the elementary approach to the process of creating original prose, poetry, and/or dramatic format works. The class will focus on a minimum of two genres and will cover both experimental and traditional forms. Prerequisite: RHET 1302.","3-0","S"
"CRWT","2V71","Independent Study in Creative Writing","3","Independent study under a faculty member's direction. Signature of instructor on proposed project outline required. May be repeated for credit (9 hours maximum).","[1-3]-0","R"
"CRWT","3307","Creating Short Stories","3","A creative workshop on the art of the short story which both investigates the creative techniques and processes involved in writing short stories and also concentrates on a variety of experimental and traditional forms that combine the art of words with the visual and performing arts. May be repeated for credit (9 hours maximum.) Prerequisite: CRWT 2301 or permission of instructor.","3-0","T"
"CRWT","3308","Creating Nonfictions","3","A creative workshop built around the aesthetic techniques and aesthetic processes used to create essays, biographies, and autobiographies as works of art.  Topics will vary and often will include work by visual artists, filmmakers, composers, or other writers. May be repeated for credit as topics vary (9 hours maximum.) Prerequisite: CRWT 2301 or permission of instructor.","3-0","T"
"CRWT","3351","Creating Poetry","3","A creative workshop on the art of poetry which investigates the creative techniques and processes involved in writing poems in various, often opposing, forms that combine the art of words with the visual and performing arts. May be repeated for credit (9 hours maximum). Prerequisite: CRWT 2301 or permission of instructor.","3-0","T"
"CRWT","3360","Art Criticism","3","This seminar provides a context for practice in the writing of art criticism. Subjects selected for examination may include visual arts, film, dance, theater, music, fiction, and poetry. Prerequisite: ARTS 1301 or equivalent. May be repeated for credit (6 hours maximum).","3-0","R"
"CRWT","4307","Creating Short Stories: Advanced","3","An advanced workshop on the creation and theory of the short story that will focus both on structure and on creative techniques and creative process involved in writing sophisticated, challenging, and linguistically developed short stories. May be repeated for credit (6 hours maximum.)  Prerequisite: CRWT 3307 or permission of instructor.","3-0","T"
"CRWT","4353","Creating Poetry: Advanced","3","An advanced workshop on the creation, history, and theory of poetry that will focus on the creative techniques and the creative process involved in writing formalist, lyrical, free verse, and experimental poetry. May be repeated for credit (6 hours maximum.) Prerequisite: CRWT 3351 or permission of the instructor. ","3-0","T"
"CRWT","4354","Creating Play, Movie, and Television Scripts","3","An advanced workshop on the aesthetics, art, and creation of play, movie, and television scripts which will focus on the creative techniques and the creative process involved not only in the creation of film, play, and television scripts, but also in the production of plays, films, and television episodes. May be repeated for credit as topics vary (9 hours maximum.) Prerequisite: CRWT 2301 or permission of instructor. ","3-0","T"
"CRWT","4V71","Independent Study in Creative Writing","1-3","Independent study under a faculty member's direction. Signature of instructor on proposed project outline required. May be repeated for credit (9 hours maximum). Prerequisite: Upper-division standing, and completion of all lower-division requirements in AP and permission of the instructor.","[1-3]-0","R"
"CS","5301","Advanced Professional and Technical Communication","3","CS 5301 utilizes an integrated approach to writing and speaking for the technical professions. The advanced writing components of the course focus on writing professional quality technical documents such as proposals, memos, abstracts, reports, letters, emails, etc. The advanced oral communication components of the course focus on planning, developing, and delivering dynamic, informative and persuasive presentations. Advanced skills in effective teamwork, leadership, listening, multimedia and computer generated visual aids are also emphasized. Graduate students will have a successful communication experience working in a functional team environment using a real time, online learning environment.","3-0","Y"
"DANC","1310","Understanding Dance","3","Lectures, discussions, and performances designed to explore artistic, philosophical, and historical dimensions of the theatrical dance experience. Areas of emphases may include differing dance traditions, the nature of dance compared to other performing arts, and relations between social and theatrical dance.","3-0","Y"
"DANC","2311","Topics in Dance","3","An introduction to specialized topics in dance. May include  historical or cultural elements of dance, a genre or choreographer or digital aspects of dance.  May be repeated for credit as topics vary (9 hours maximum).","0-3","R"
"DANC","2321","Stretch, Conditioning, Alignment","3","Designed to enrich students' understanding of their own physical condition and to prepare students physically for the study of dance technique. The course will apply principles of dance conditioning and alignment including the development of abdominal strength, floor barre practices, flexibility and placement exercises, and selected exercises from yoga and Pilates.","0-3","Y"
"DANC","2331","Beginning Dance and Movement","3","Designed for students who wish to develop skills in various forms of dance and movement. May be repeated for credit (9 hours maximum).","0-3","Y"
"DANC","2332","Beginning Modern Dance","3","Designed for students who wish to develop skills in Modern dance. May be repeated for credit (9 hours maximum).","0-3","Y"
"DANC","2333","Beginning Jazz Dance","3","Designed for students who wish to develop skills in Jazz dance. May be repeated for credit (9 hours maximum).","0-3","Y"
"DANC","2334","Beginning Ballet","3","Designed for students who wish to develop skills in Ballet. May be repeated for credit (9 hours maximum).","0-3","Y"
"DANC","2V71","Independent Study in Dance","1-3","Independent study under a faculty member's direction. Signature of instructor on proposed project outline required. May be repeated for credit (9 hours maximum).","[1-3]-0","R"
"DANC","3332","Intermediate Dance","3","Designed for students who wish to develop additional experiences in various forms of dance. May be repeated for credit (9 hours maximum). Prerequisite: DANC 2331 or permission of the instructor.","0-3","T"
"DANC","3333","Intermediate Modern Dance","3","Designed for students who wish to develop additional experience and skills in Modern dance at an intermediate level. May be repeated for credit (9 hours maximum). Prerequisite: Minimum of 9 hours in DANC 2332 or in DANC 2334 or permission of the instructor.","0-3","T"
"DANC","3334","Intermediate Jazz Dance","3","Designed for students who wish to develop additional experience and skills in Jazz dance at an intermediate level. May be repeated for credit (9 hours maximum). Prerequisite: Minimum of 9 hours in DANC 2332 or in DANC 2333 or in DANC 2334 or permission of the instructor.","0-3","T"
"DANC","3335","Intermediate Ballet Dance","3","Designed for students who wish to develop additional experience and skills in Ballet at an intermediate level. May be repeated for credit (9 hours maximum). Prerequisite: Minimum of 9 hours in DANC 2334 or permission of the instructor.","0-3","T"
"DANC","3340","Dance in Historical Context","3","Studies in the history of dance. Topics may include the development of western or world dance forms, specific periods, styles, traditions, and/or artists. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: ARTS 1301, DANC 1310, or equivalent.","3-0","Y"
"DANC","3342","Topics in Dance","3","Topics may vary from semester to semester. May be repeated for credit  as topics vary (9 hours maximum). Prerequisite: ARTS 1301 or DANC 1310 or equivalent or permission of the instructor.","0-3","R"
"DANC","3345","Dance Performance","3","Exploration of various choreographic styles and ideas of performance. Emphasis may be placed on the application of dance techniques in choreographed works. Methods may focus on the choreographic process to enrich the performer's range of technique and expression and encourage understanding of choreographic principles and practices. May be repeated for credit (9 hours maximum). Prerequisite: DANC 3332, DANC 3333, DANC 3334, DANC 3335, or permission of instructor.","3-0","Y"
"DANC","3347","Dance Composition","3","Students will study basic concepts and applications for dance composition at a beginning level. Principles and skills will be taught through projects, analysis, and the creation of a complete work. May be repeated for credit (9 hours maximum). Prerequisite: DANC 3332, DANC 3333, DANC 3334, DANC 3335, or permission of instructor.","0-3","Y"
"DANC","4313","Advanced Dance","3","Designed for students who wish to develop additional experience in various forms of dance.  May be repeated for credit as topics vary (9 hours maximum). Prerequisite: DANC 3332 or permission of the instructor.","0-3","T"
"DANC","4V71","Independent Study in Dance","1-3","Independent study under a faculty member's direction. Signature of instructor on proposed project outline required. May be repeated for credit (9 hours maximum). Prerequisite: Upper-division standing, and completion of all lower-division requirements in AP, and permission of the instructor.","[1-3]-0","R"
"DRAM","1310","Understanding Theater","3","Lectures, discussions, and performances designed to explore artistic, philosophical, social, historical, and psychological dimensions of the theatrical experience. Topics may include analysis of scripts, the nature of the theatre compared to the other performing arts, and the nature of popular entertainments.","3-0","Y"
"DRAM","1351","Acting 1","3","The purpose of this course is to provide the student with a working knowledge of the fundamentals of the actor's craft.  This will include basic acting theory and technique, script analysis, exercises to develop imagination, concentration, sensory awareness, self-knowledge, trust and freedom.  This class is designed to give the beginning acting student the ability to act and work individually and collaboratively on lay scripts in a workshop environment.","0-3","T"
"DRAM","1352","Acting 2","3","This course will continue the development of physical, emotional, and imaginative awareness as it applies to acting. The methods of creating character, text analysis, and performance techniques will be emphasized. Students will also be introduced to different styles of acting and improvisation. Material may focus on classic or contemporary drama or original creations and will include scene and monologue study and presentation. Prerequisite: DRAM 1351 or permission of instructor.","0-3","T"
"DRAM","2311","Topics in Theater","3","An introduction to specialized topics in theatre. May include historical or cultural elements of theatre, a genre or author, or digital aspects of theatre.  May be repeated for credit as topics vary (9 hours maximum).","3-0","R"
"DRAM","2364","Musical Theater Workshop","3","Training in singing, dancing, and acting for the musical stage. Includes preparation of performance from the works of 20th- and 21st-century composers. May be repeated for credit as topics vary (6 hours maximum).","0-3","R"
"DRAM","2371","Technical Theater 1","3","Designed to provide an introductory overview of all aspects of technical theater, encompassing lighting, sound, set construction, props, costume procedures, and elementary construction. Practical work will reference theater history and the theoretical foundations of technical theatre. Students will be required to attend weekly lectures and fulfill production lab hours.","0-3","Y"
"DRAM","2372","Improvisation","3","Students will learn the fundamentals of spontaneous creativity through the use of critical listening and response.  Exercises and games are used to help students learn to express themselves both physically and vocally.","0-3","R"
"DRAM","2373","Languages of the Body","3","Explores the fundamental principles and techniques of movement and/or voice and their relationship to diverse forms of theater, performance, media, and alternative stagings. Presented in a participatory workshop setting. Prerequisite: DRAM 1310 or equivalent. May be repeated for credit as topics vary (6 hours maximum).","0-3","R"
"DRAM","2V71","Independent Study in Drama","1-3","Independent study under a faculty member's direction. Signature of instructor on proposed project outline required. May be repeated for credit (9 hours maximum).","[1-3]-0","R"
"DRAM","3310","Theater/Performance Ensemble","3","This course is for people who are acting, producing or managing a production.  The time will be reserved for rehearsals, script analysis, concept design and general studies.  Additional rehearsals, outside of the assigned class time, will be necessary to produce the show.  This course provides practical use of theatrical studies.  May be repeated for credit as topics vary (9 hours maximum). Prerequisite: Audition or permission of the instructor.","0-3","R"
"DRAM","3323","Performance in Historical Context","3","Studies in theater and performance art. The course may consider eras such as Classical, Medieval, Renaissance, Realist, Contemporary, or Experimental Avant-Garde in the Western and Non-Western traditions. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: DRAM 1310 or equivalent.","3-0","T"
"DRAM","3324","Technical Theater 2","3","Designed to teach the advanced elements of theatrical skills, including lighting, sound, set, props, and costumes. Students will learn the foundations of the design process and how they apply to the completion of the production on stage. Practical work will apply with students required to attend weekly lectures and production lab hours. Prerequisite: DRAM 2371 or permission of the instructor.","0-3","Y"
"DRAM","3325","Directing and Producing","3","The course presents the principles and working methods of directing and producing theater, performance, and inter-media expressions. Emphasis will be on the development of skills required to bring a text or idea to presentation. Areas of focus will include imagination and conception, image and metaphor, analysis, planning, development-rehearsal process, and production. Will require out of class lab hours. Prerequisite: DRAM 2351 or permission of the instructor.","0-3","Y"
"DRAM","3342","Topics in Theater","3","Topics may vary from semester to semester.  They include specialized courses in technical theater, production, performance and adminisration and are offered at the discretion of the instructor.  Past courses include Voice Over and Stage Management. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: DRAM 1310 or equivalent or permission of the instructor.","3-0","R"
"DRAM","3351","Lighting Design","3","Students will learn the fundamentals of designing lighting for various events.  Concerts, dance and theatrical productions will be covered.  Proper procedures for creating a fully functional lighting design from concept and justification to plotting and implementation, color theory, texture, proper instrumentation, drafting, and justification are a few of the skills that students will  learn through the course of the semester.  Prerequisite: DRAM 1310, DRAM 3324, or consent of instructor. ","3-0","R"
"DRAM","3356","Acting 3","3","Material may focus on classic or contemporary drama or on original creations. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: Audition or permission of the instructor.","0-3","R"
"DRAM","4V71","Independent Study in Drama","1-3","Independent study under a faculty member's direction. Signature of instructor on proposed project outline required. May be repeated for credit (9 hours maximum). Prerequisite: Upper-division standing, and completion of all lower-division requirements in AP, and permission of the instructor.","[1-3]-0","R"
"ECS","3390","Professional and Technical Communication","3","Course utilizes an integrated approach to writing and speaking for the technical profession. The writing component focuses on writing professional quality technical documents such as proposals, memos, abstracts, reports and letters. The oral communication part of the course focuses on planning, developing, and delivering dynamic, informative and persuasive presentations. Gives students a successful communication experience working in a functional team environment using a total on-line/real time learning environment. Prerequisite: RHET 1302.","3-0","S"
"ED","3314","The American Public School","3","A study of the nature, scope, and purposes of the public school, with emphasis on meeting the needs of the multicultural society of Texas. Successful completion of 20 clock hours of field experience is required and a prerequisite for a grade in this course. Completion of 45 hours of course work and a cumulative GPA of 2.5 is a prerequisite for this course. ","3-0","S"
"ED","3315","Children's Literature","3","Examining literature that is age appropriate for elementary students. Literature from many cultures and writers will be included. Students will explore ways to incorporate a variety of literature in their classes and the national and state standards will be incorporated into the class. Prerequisite: Three hours of lower-division literature or HUMA 1301. (Same as LIT 3315) ","3-0","Y"
"ED","3339","Educational Psychology","3","This course will introduce the theoretical foundation underlying various teaching strategies and provide a framework for understanding student development. Emphasis will be on application of theories in actual teacher behavior. (Same as CLDP/PSY 3339) ","3-0","S"
"ED","3340","Math Concepts for Teachers","3","Class designed to teach prospective classroom teachers to analyze problem situations, create solution strategies, solve problems, and justify his/her thinking; students will construct concepts of number, patterns, geometry, measurement, probability, and statistics through the use of exploration and investigation. Prerequisite: MATH 1306 or MATH 1314. ","3-0","S"
"ED","3342","Classroom Management Grades EC - 6","3","Principles of teaching, classroom management and organization, and designing instruction and assessment for elementary/middle schools. Emphasis will be given to understanding the teaching environment, understanding learners, and enhancing student achievement. The domains and competencies for the Professional Development TExES are examined. Successful completion of 20 clock hours of field experience is required and a prerequisite for a grade in this course. Department permission required. Must register in Teacher Development Center. ","3-0","S"
"ED","3345","Art, Music, And Physical Development MethodsGrades EC - 6th Grade","3","Principles and foundations for developing critical thinking and motor skills through art, music, and organized movement. Department permission required. Must register in Teacher Development Center. ","3-0","S"
"ED","3370","Curriculum and Instruction in Mathematics and Computer Information Systems","3","Curriculum design and methods of instruction in the mathematical sciences. Successful completion of 20 clock hours of field experience is required and a prerequisite for a grade in this course. Department permission required. Must register in Teacher Development Center. ","3-0","S"
"ED","3371","Curriculum and Instruction in the Natural Sciences","3","Curriculum design and methods of instruction in the natural sciences. Successful completion of 20 clock hours of field experience is required and a prerequisite for a grade in this course. Department permission required. Must register in Teacher Development Center. ","3-0","S"
"ED","3380","Curriculum and Instruction in English","3","Curriculum design and methods of instruction in English. Successful completion of 20 clock hours of field experience is required and a prerequisite for a grade in this course. Department permission required. Must register in Teacher Development Center. ","3-0","S"
"ED","3382","Curriculum and Instruction in Social Studies","3","Curriculum design and methods of instruction in history. Successful completion of 20 clock hours of field experience is required and a prerequisite for a grade in this course. Department permission required. Must register in Teacher Development Center. ","3-0","S"
"ED","4343","Science Methods For Grades EC - 6","3","Subject matter and scope and sequence organization for an integrated science program in the elementary/middle school based on national and Texas curricula and assessment standards. Hands-on activities are included. Department permission required. Must register in Teacher Development Center. ","3-0","S"
"ED","4344","Mathematics Methods For Elementary Teachers","3","Subject matter and scope and sequence organization for teaching mathematics in the elementary/middle school, based on national and Texas curricula and assessment standards. Manipulatives and visuals are used to help students master basic mathematics principles and develop critical thinking skills. Department permission required. Must register in Teacher Development Center. ","3-0","S"
"ED","4345","Language Arts/Social Studies Methods For Grades EC - 6","3","Subject matter and scope and sequence organization for teaching language arts and social studies in the elementary/middle school, based on national and Texas curricula and assessment standards. Department permission required. Must register in Teacher Development Center. ","3-0","S"
"ED","4352","Reading I: Learning to Read","3","A study of the reading process and theories about teaching reading, understanding the sequential development of reading programs and methods for grouping students and subject matter. This course is required for all students seeking EC - 6 and 4 - 8 ELA certification. ","3-0","S"
"ED","4353","Reading in Secondary Content","3","Focuses on using reading and writing in non-language related courses for teachers - Grades 4-8 Generalist, and Science, Mathematics, Social Studies, and Grades 8-12. Required for all content teaching areas. ","3-0","S"
"ED","4355","Reading II: Reading to Learn","3","Focuses on developing and using reading, writing, listening, speaking and thinking as tools. Instructional strategies, thematic teaching, study skills, and effective uses for text, media, and other resources will be utilized. Department permission required. Must register in Teacher Development Center. Prerequisite: ED 4352. ","3-0","S"
"ED","4357","Diagnostic Reading","3","Examines a variety of assessment and evaluation strategies that are appropriate for the classroom teacher - both formal and informal procedures are introduced. Department permission required. Must register in Teacher Development Center. Prerequisite: ED 4355 or ED 4353. ","3-0","S"
"ED","4358","Chess I: Using Chess in Elementary Schools","3","Using chess to teach critical thinking, math, and reading skills in the elementary classroom. This course is also appropriate for chess instructors who wish to incorporate additional academic and humanistic goals into their programs. This course is offered exclusively via distant learning through the UT TeleCampus. ","3-0","R"
"ED","4359","Chess II: Institutional and Cultural Contexts of Chess","3","The role of chess as a combination of game, art and sport in various cultural and institutional environments; resources for teachers from local and national chess organizations, foundations and associations. Some knowledge of the rules and strategies of chess are necessary. This course is offered exclusively via distant learning through the UT TeleCampus. ","3-0","R"
"ED","4361","Classroom Management Grades 8 - 12","3","A systematic approach to managing the total classroom environment. Emphasis will be given to practical applications of the research in instructional design, instructional management, and strategies in behavioral management. The domains and competencies for the Pedagogy and Professional Development TExES are examined. Department permission required. Must register in Teacher Development Center. ","3-0","S"
"ED","4362","Classroom Management GR 4 - 8","3","A systematic approach to managing the total classroom environment in the middle school. Emphasis will be given to practical applications of the research in instructional design, instructional management, and strategies in behavioral management for pre- and early teens. The domains and competencies for the Pedagogy and Professional Development TExES are examined. Class includes 20 hours of field experience for 4-8 Generalist students. Department permission required. Must register in Teacher Development Center. ","3-0","S"
"ED","4363","Reading II/ELAR Methods","3","Focuses on developing and learning methods to teach reading, writing, listening, language arts, speaking and thinking for Grades EC-6. Instructional strategies, thematic teaching, study skills, and effective uses for text, media, and other resources will be utilized. Department permission required. Must register in Teacher Development Center. Prerequisite: ED 4352. ","3-0","S"
"ED","4370","Multicultural Perspectives in Learning","3","Focuses on identifying and effectively meeting the needs of a diverse population. Emphasis is placed on tools for planning, collaborative decision making, and implementation of new ideas in the development of programs for minority and non-minority students in academic achievement. ","3-0","R"
"ED","4372","Educational Technology","3","Emphasis is placed on the use of technology to support the teaching and learning process. This class is only available on the web. Information about specific instructional applications is presented to provide concrete examples of principles and procedures. Focuses on electronic instructional media, multimedia, telecommunications, multi-user networks, and their real-world applications to the secondary classroom. ","3-0","S"
"ED","4693","Student Teaching - Elementary","6","Observation and supervised teaching in the elementary school. Requires full-time attendance in schools for 12 weeks. Prerequisite: Admission to student teaching. Must register in Teacher Development Center. Additional fee attached to course. ","6-0","S"
"ED","4694","Student Teaching - Grades 8 - 12","6","Observation and supervised teaching in a single teaching field. Requires full-time attendance in schools for 12 weeks. Prerequisite: Admission to student teaching. Must register in Teacher Development Center. Additional fee attached to course. ","6-0","S"
"ED","4696","Student Teaching - Grades 4 - 8","6","Observation and supervised teaching in a classroom for Grades 4-8. Requires full-time attendance in school for 12 weeks. Prerequisite: Admission to student teaching. Must register in Teacher Development Center. Additional fee attached to course. ","6-0","S"
"ED","4V90","Independent Study in Education","1-6","Independent study under a faculty member's direction. May be repeated for credit. Consent of instructor required. ","[1-6] 0","R"
"ED","4V95","Special Topics in Education","1-6","Subject matter will vary from semester to semester. May be repeated for credit (9 hours maximum). ","[1-6] 0","R"
"ED","5300","The Interdisciplinary Teaching of the Arts and Humanities in the Secondary School","3","Approaches to the interdisciplinary teaching of the arts and humanities at the secondary level. Each student will design a curriculum unit to be taught from an interdisciplinary perspective. Required of students seeking the Master of Arts in Teaching.","3-0","Y"
"ED","5353","Teaching English as a Second Language","3","Investigation of modern techniques of teaching English as a second language in relation to the general development of language skills (listening, speaking, reading, and writing) in secondary schools. Contributions of modern linguistic science to both theory and practice.","3-0","Y"
"EMAC","4325","Digital Writing","3","This class will introduce the forms and strategies of digital composition. Through this writing-intensive course students will learn to write in and about digital networked spaces, focusing on changes that the switch from analog to digital has brought to representation. This course will explore writing in the digital age across a range of technologies, environments, and spaces. Prerequisite: RHET 1302.","3-0","Y"
"EMAC","4372","Topics in Emerging Media and Communication","3","The course studies fundamental principles and basic techniques of emerging media and communication. Sections may be devoted exclusively to a single aspect of emerging media and communication or to a multiplicity of subjects related to the field. May be repeated for credit as topics vary (12 hours maximum). Prerequisite: Upper division standing.","3-0","R"
"EMAC","4380","Capstone Project","3","Culminating course in Emerging Media and Communication. Students will engage in the creation of an advanced creative and/or research project exploring the interaction of the arts with digital technology. Restricted to students majoring in Emerging Media and Communication who are within one semester of graduation. Prerequisite: Permission of instructor.","0-3","Y"
"EMAC","4399","Senior Honors in Emerging Media & Communication","3","Intended for students conducting independent research for honors theses or projects. Topics may vary. Signature of instructor on proposed project outline required.","3-0","R"
"EMAC","4V71","Independent Study in Emerging Media and Communication","1-3","Independent study under a faculty member's direction. Signature of instructor on proposed project outline required. May be repeated for credit (9 hours maximum). Prerequisite: Upper-division standing, and completion of all lower-division requirements in EMAC and permission of the instructor.","[1-3]-0","R"
"EMAC","6300","Introduction to the Study of Emerging Media and Communication","3","Introduction to interdisciplinary study of the implications of interactive technology for the creation, dissemination and impact of communication. Establishes basic theoretical concepts and principles underlying the graduate program in Emerging Media and Communication.","3-0","Y"
"EMAC","6383","Emerging Media Studio II","3","Advanced collaborative workshop devoted to the creation of sophisticated communications employing multiple media platforms. (May be repeated for credit to a maximum of 9 credit hours.)","0-3","T"
"EMAC","6V81","Special Topics in Emergent Communication","1-9"," A course dedicated to current issues, research problems, and special projects in emerging media and communication. Topics will vary and may include distributed, mobile, time-shifted, interactive and personal media. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","0-[1-9]","T"
"EMAC","6V91","Advanced Project Workshop","3-6","Students propose, develop and execute an advanced creative and/or research project exploring the Emerging Media and Communication. This course is required of all degree candidates in Emerging Media and Communication.","[3-6]-0","Y"
"FILM","2332","Understanding Film","3","Explores the history and stylistic elements of cinema as a mass medium and an art form. The course analyzes visual language and film style, cinematic codes, and the ways that the motion picture can embody or criticize popular ideas and attitudes. Emphasis is on film analysis, film in relation to the other arts and mass media, films as artifacts, and understanding the ways that films are put together and how they function expressively.","3-0","Y"
"FILM","2V71","Independent Study in Film","1-3","Independent study under a faculty member's direction. Signature of instructor on proposed project outline required. May be repeated for credit (9 hours maximum).","[1-3]-0","R"
"FILM","3321","Film in Historical Context","3","Historical studies of major films, genres, and movements from the silent era to the present. Topics may include the history of documentary, fiction, or experimental film and video; film genres such as the musical , the horror film, or the melodrama viewed in their historical context. Courses on film movements focus on a national cinema at a specific time (such as German Expressionism, Soviet Socialist Realism, Italian Neo-Realism, the French New Wave, or film noir). May be repeated for credit as topics vary (9 hours maximum). Prerequisite: FILM 2332 or equivalent.","3-0","Y"
"FILM","3325","Film Authorship","3","Film history studied through one to two directors per course, from their most recent or final films. Lectures, discussions, and film screenings are designed to explore films as part of cultural history, cinema history, and the history of criticism, including theories about the nature of film authorship in relation to film. May be repeated for credit as directors vary (6 hours maximum). Prerequisite: FILM 2332 or equivalent.","3-0","R"
"FILM","3342","Topics in Film","3","Explores the changing nature, practices, and principles of film. Topics may focus on the varied nature of the collaborative filmmaking process, the rise of cinema as a public entertainment, thematic issues, or relationships between film and social change. Sections may be devoted to independent cinema, contemporary international cinema, or aspects of filmmaking such as scriptwriting. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: FILM 2332 or equivalent.","3-0","R"
"FILM","4V71","Independent Study in Film","1-3","Independent study under a faculty member's direction. Signature of instructor on proposed project outline required. May be repeated for credit (9 hours maximum). Prerequisite: Upper-division standing, and completion of all lower-division requirements in AP and permission of the instructor.","[1-3]-0","R"
"FREN","1311","Beginning French I","3","This course will integrate acquisition of the four language skills (listening, speaking, reading, and writing) with study of French culture and civilization.","3-0","Y"
"FREN","1312","Beginning French II","3","This course is a continuation of Beginning French I. It will integrate acquisition of the four language skills (listening, speaking, reading and writing) with study of French culture and civilization.","3-0","Y"
"FREN","2311","Intermediate French I","3","This course is a continuation of Beginning French. It will include review and application of skills in listening comprehension, speaking, reading, and writing. The course emphasizes conversation, vocabulary acquisition, reading, composition, and culture.","3-0","Y"
"FREN","2312","Intermediate French II","3","This course is a continuation of Intermediate French I. It will include review and application of skills in listening comprehension, speaking, reading, and writing. The course focuses on conversation, vocabulary acquisition, reading, and composition.  A major course component will be an emphasis on French culture.","3-0","Y"
"GERM","1311","Beginning German I","3","This course will integrate acquisition of the four language skills (listening, speaking, reading, and writing) with study of German culture and civilization.","3-0","Y"
"GERM","1312","Beginning German II","3","This course is a continuation of Beginning German I. It will integrate acquisition of the four language skills (listening, speaking, reading and writing) with study of German culture and civilization.","3-0","Y"
"GERM","2311","Intermediate German I","3","This course is a continuation of Beginning German. It will include review and application of skills in listening comprehension, speaking, reading, and writing. The course emphasizes conversation, vocabulary acquisition, reading, composition, and culture.","3-0","Y"
"GERM","2312","Intermediate German II","3","This course is a continuation of Intermediate German I. It will include review and application of skills in listening comprehension, speaking, reading, and writing. The course focuses on conversation, vocabulary acquisition, reading, and composition.  A major course component will be an emphasis on German culture.","3-0","Y"
"GREK","1312","Beginning Greek","3","The grammar and syntax of ancient Greek. Discussion of the Greek sensibility, which is inseparable from the Greek language. Some readings of short poems of Archilochus, Sappho, and Anacreon. Graduated readings from Aesop and Herodotus.","3-0","R"
"GREK","2312","Intermediate Greek","3","Readings in selected Greek poetry and prose. Prerequisite: GREK 1312 or permission of instructor.","3-0","R"
"HIST","1301","U.S. History Survey to Civil War","3","An introduction to the methods of historical inquiry focusing on the study of American history from the beginnings through the American Civil War.","3-0","R"
"HIST","1302","U.S. History Survey from Civil War","3","An introduction to the methods of historical inquiry focusing on the study of American history from the American Civil War through the present.","3-0","R"
"HIST","2301","History of Texas","3","The political, social, economic, and cultural development of Texas.","3-0","Y"
"HIST","2330","Themes and Ideas in American History","3","An introduction to the methods of historical inquiry through the study of selected main themes in American history. A course designed to offer students an understanding of the historical and cultural context of America in the contemporary world. Topics may vary.","3-0","R"
"HIST","2331","Issues in American History","3","Readings, commentary, and discussion aimed at varying aspects of history and culture. Topics may vary.","3-0","T"
"HIST","2V71","Independent Study in Historical Studies","1-3","Independent study under a faculty member's direction. May be repeated for credit (9 hours maximum). Prerequisite: Permission of the instructor.","[1-3]-0","R"
"HIST","3301","Historical Inquiry","3","Readings, commentary, and discussion aimed at introducing a variety of texts and sources with an emphasis on the major methods appropriate to their use. This course should be taken prior to completing the first 12 hours of upper-division course work in the program. It is normally offered only during the fall and spring semesters. Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","S"
"HIST","3304","Conceptions of Human Nature","3","Emphasis on contemporary conceptions of human nature and the human condition, stressing the cultural and historical settings. Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","R"
"HIST","3312","Early China","3","Themes in the history of China to the end of the third century of the common era.  Emphasis on social, intellectual, and cultural developments of China's axial age (the late Zhao dynasty) and first great empire (the Han dynasty).  Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","T"
"HIST","3313","Medieval China","3"," Themes in the history of China from the decline of the Han dynasty through the period of disunion and reunification under the Sui and Tang dynasties. Emphasis on social, intellectual, and cultural developments of China's Medieval age.  Prerequisite: HIST 1301, HIST 1302, HIST 2301, HIST 2330, HIST 2331, or equivalent.","3-0","T"
